PropertyName,Area,Rooms,Price (per thousand pounds),Walking time to the nearest metro station (mins),"Furnishing ( Furnished, Partially Furnished, Not Furnished)",Pet Accepted,Availability,Supermarket Nearby,School Nearby (Y/N),Buy/Rent,Balcony,Size (sqft),No. of toilets,Property Type,Level,Greater London/London,,
144 North Crescent,Inner London,Four or more Bedrooms,2383,19,Partially Furnished,Yes,9/10/2022,No,Yes,Buy,No,1391,5,Terrace,Low,Greater London,,
117 St. John's Estate,Tower Hamlets,One Bedroom,1148,18,Partially Furnished,Yes,9/11/2022,Yes,No,Rent,No,487,1,Terrace,Low,London,,
188 Diamond Lane,Inner London,One Bedroom,448,28,Partially Furnished,Yes,9/12/2022,Yes,Yes,Buy,No,626,1,Terrace,Low,Greater London,,
88 West Estate,Southwark,Four or more Bedrooms,2001,6,Partially Furnished,No,9/13/2022,No,Yes,Rent,Yes,1473,6,Terrace,Low,Greater London,,
193 Grange Road,Southwark,One Bedroom,997,21,Not furnished,Yes,9/14/2022,Yes,No,Rent,No,437,1,Terrace,Low,London,,
45 Victoria Lane,Sutton,Two Bedroom,850,21,Furnished,Yes,9/15/2022,Yes,Yes,Buy,No,752,1,Terrace,Low,Greater London,,
164 South Estate,Barnet,Four or more Bedrooms,2383,25,Furnished,No,9/16/2022,No,No,Buy,Yes,1251,5,Terrace,Low,Greater London,,
21 St. James Road,Lewisham,One Bedroom,420,9,Partially Furnished,No,9/17/2022,No,Yes,Rent,Yes,553,1,Terrace,Low,Greater London,,
55 Merton Street,Bromley,Four or more Bedrooms,916,25,Partially Furnished,Yes,9/18/2022,Yes,No,Rent,Yes,1598,5,Terrace,Low,London,,
100 North Estate,Hackney,Four or more Bedrooms,2167,5,Furnished,No,9/19/2022,No,No,Rent,No,1572,6,Terrace,Low,Greater London,,
173 South Road,YORKSHIRE AND THE HUMBER,Four or more Bedrooms,455,28,Partially Furnished,Yes,9/20/2022,No,No,Buy,Yes,1337,5,Terrace,Low,London,,
154 Elizabeth Road,Harrow,One Bedroom,810,14,Not furnished,Yes,9/21/2022,No,Yes,Rent,Yes,670,1,Terrace,Low,Greater London,,
74 East Crescent,Inner London,One Bedroom,1170,11,Furnished,Yes,9/22/2022,Yes,Yes,Buy,No,639,1,Terrace,Low,Greater London,,
193 West Drive,Croydon,One Bedroom,395,25,Not furnished,Yes,9/23/2022,Yes,No,Rent,Yes,677,1,Terrace,Low,London,,
41 West Street,Merton,One Bedroom,850,10,Partially Furnished,Yes,9/24/2022,No,Yes,Rent,No,491,1,Terrace,Low,Greater London,,
44 Elizabeth Manor,Bexley,One Bedroom,380,14,Partially Furnished,No,9/25/2022,Yes,No,Buy,Yes,524,1,Terrace,Low,Greater London,,
65 St. John's Avenue,Ealing,Four or more Bedrooms,1000,24,Not furnished,Yes,9/26/2022,No,Yes,Buy,No,1352,6,Terrace,Low,London,,
154 North Street,Hillingdon,Four or more Bedrooms,925,21,Partially Furnished,Yes,9/27/2022,No,No,Rent,No,1534,7,Terrace,Low,Greater London,,
158 Elizabeth Road,Greenwich,One Bedroom,390,27,Furnished,No,9/28/2022,No,Yes,Rent,Yes,592,1,Terrace,Low,Greater London,,
148 South Avenue,Brent,One Bedroom,433,11,Partially Furnished,Yes,9/29/2022,No,Yes,Buy,Yes,422,1,Terrace,Low,London,,
1 West Lane,Hackney,One Bedroom,1127,17,Furnished,Yes,9/30/2022,Yes,No,Buy,Yes,670,1,Terrace,Low,London,,
68 West Estate,Harrow,Three Bedroom,1250,28,Not furnished,No,10/1/2022,No,No,Buy,No,1006,3,Terrace,Low,London,,
67 Merton Street,Barking and Dagenham,One Bedroom,350,18,Furnished,Yes,10/2/2022,No,Yes,Buy,No,440,1,Terrace,Low,London,,
125 East Estate,Islington,Three Bedroom,1950,17,Not furnished,Yes,10/3/2022,No,Yes,Rent,Yes,1149,3,Terrace,Low,Greater London,,
67 St. James Lane,Sutton,Four or more Bedrooms,800,29,Not furnished,Yes,10/4/2022,No,No,Buy,No,1429,7,Terrace,Low,Greater London,,
201 North Manor,Newham,Four or more Bedrooms,1350,13,Not furnished,Yes,10/5/2022,No,No,Buy,Yes,1519,7,Terrace,Low,Greater London,,
75 St. John's Crescent,YORKSHIRE AND THE HUMBER,One Bedroom,298,10,Not furnished,No,10/6/2022,No,Yes,Buy,Yes,660,1,Terrace,Low,Greater London,,
177 Duchess Road,YORKSHIRE AND THE HUMBER,Four or more Bedrooms,470,5,Partially Furnished,Yes,10/7/2022,Yes,No,Buy,No,1538,5,Terrace,Low,Greater London,,
203 East Crescent,NORTH EAST,One Bedroom,271,27,Not furnished,Yes,10/8/2022,No,No,Buy,Yes,433,1,Terrace,Low,Greater London,,
124 South Road,Havering,Three Bedroom,978,18,Furnished,No,10/9/2022,No,Yes,Rent,Yes,1151,2,Terrace,Low,London,,
156 Diamond Street,Bexley,Two Bedroom,800,6,Not furnished,No,10/10/2022,No,No,Buy,Yes,828,2,Terrace,Low,Greater London,,
44 West Lane,Bexley,Four or more Bedrooms,800,15,Not furnished,No,10/11/2022,No,No,Rent,Yes,1471,5,Terrace,Low,Greater London,,
199 Duchess Drive,Hackney,Three Bedroom,1731,27,Furnished,Yes,10/12/2022,No,Yes,Rent,Yes,1172,3,Terrace,Low,Greater London,,
176 Duchess Crescent,Bexley,One Bedroom,650,28,Not furnished,No,10/13/2022,Yes,No,Rent,No,506,1,Terrace,Low,Greater London,,
177 Victoria Avenue,Bexley,Three Bedroom,1000,23,Partially Furnished,Yes,10/14/2022,Yes,No,Buy,Yes,988,1,Terrace,Low,London,,
185 St. John's Road,EAST MIDLANDS,Two Bedroom,480,24,Partially Furnished,Yes,10/15/2022,No,Yes,Rent,Yes,709,1,Terrace,Low,London,,
153 East Street,Hounslow,One Bedroom,825,15,Not furnished,Yes,10/16/2022,Yes,Yes,Buy,Yes,422,1,Terrace,Low,London,,
94 Duchess Drive,WEST MIDLANDS,One Bedroom,425,10,Not furnished,Yes,10/17/2022,No,No,Buy,Yes,651,1,Terrace,Low,Greater London,,
66 Grange Avenue,NORTH EAST,Four or more Bedrooms,450,26,Furnished,Yes,10/18/2022,Yes,No,Buy,No,1305,6,Terrace,Low,London,,
26 Grange Road,Tower Hamlets,Three Bedroom,1733,27,Not furnished,No,10/19/2022,No,No,Buy,Yes,1126,3,Terrace,Low,London,,
192 Elizabeth Estate,EAST,Four or more Bedrooms,1000,9,Partially Furnished,Yes,10/20/2022,No,Yes,Buy,No,1465,5,Terrace,Low,London,,
31 Grange Estate,LONDON,Three Bedroom,1350,27,Not furnished,No,10/21/2022,No,No,Buy,Yes,1095,2,Terrace,Low,Greater London,,
195 St. James Crescent,Hillingdon,Four or more Bedrooms,1598,25,Partially Furnished,No,10/22/2022,No,No,Buy,Yes,1409,7,Terrace,Low,Greater London,,
166 Diamond Crescent,Islington,Two Bedroom,1625,13,Partially Furnished,Yes,10/23/2022,Yes,Yes,Buy,No,706,2,Terrace,Low,Greater London,,
31 Diamond Street,Haringey,Two Bedroom,1213,27,Not furnished,No,10/24/2022,No,No,Rent,No,783,2,Terrace,Low,London,,
18 West Road,Wandsworth,Three Bedroom,1700,12,Partially Furnished,Yes,10/25/2022,Yes,No,Buy,No,1089,3,Terrace,Low,London,,
146 Duchess Drive,EAST MIDLANDS,Three Bedroom,550,3,Not furnished,No,10/26/2022,Yes,Yes,Buy,Yes,1075,2,Terrace,Low,Greater London,,
143 Grange Manor,Ealing,Two Bedroom,1200,9,Partially Furnished,No,10/27/2022,Yes,No,Buy,No,890,2,Terrace,Low,Greater London,,
116 North Drive,SOUTH WEST,Two Bedroom,595,27,Not furnished,Yes,10/28/2022,Yes,No,Buy,Yes,802,1,Terrace,Low,Greater London,,
57 St. John's Street,Redbridge,Four or more Bedrooms,850,11,Partially Furnished,No,10/29/2022,No,No,Rent,No,1537,7,Terrace,Low,London,,
114 Duchess Lane,Inner London,One Bedroom,1170,8,Not furnished,Yes,10/30/2022,Yes,Yes,Buy,Yes,442,1,Terrace,Low,London,,
130 Diamond Manor,Redbridge,One Bedroom,410,18,Furnished,Yes,10/31/2022,No,No,Buy,No,460,1,Terrace,Low,London,,
130 Merton Estate,Havering,Two Bedroom,825,10,Furnished,Yes,11/1/2022,Yes,No,Buy,No,755,2,Terrace,Low,London,,
147 Duchess Lane,Inner London,Four or more Bedrooms,1300,2,Not furnished,Yes,11/2/2022,Yes,Yes,Rent,Yes,1257,5,Terrace,Low,London,,
88 St. John's Estate,Tower Hamlets,One Bedroom,520,8,Partially Furnished,Yes,11/3/2022,No,Yes,Rent,No,400,1,Terrace,Low,Greater London,,
25 Merton Crescent,EAST MIDLANDS,Four or more Bedrooms,760,1,Partially Furnished,No,11/4/2022,Yes,Yes,Rent,Yes,1335,5,Terrace,Low,Greater London,,
81 West Lane,Hammersmith and Fulham,One Bedroom,559,12,Partially Furnished,No,11/5/2022,Yes,No,Buy,Yes,676,1,Terrace,Low,London,,
105 Victoria Street,EAST,Two Bedroom,585,3,Not furnished,No,11/6/2022,Yes,Yes,Buy,Yes,752,2,Terrace,Low,Greater London,,
128 Diamond Drive,Camden,One Bedroom,575,15,Not furnished,Yes,11/7/2022,Yes,No,Buy,Yes,695,1,Terrace,Low,Greater London,,
8 Diamond Estate,EAST MIDLANDS,Three Bedroom,550,20,Not furnished,No,11/8/2022,Yes,Yes,Rent,Yes,1023,3,Terrace,Low,London,,
134 West Street,EAST MIDLANDS,One Bedroom,295,23,Partially Furnished,No,11/9/2022,Yes,No,Buy,Yes,488,1,Terrace,Low,Greater London,,
200 East Drive,Brent,Four or more Bedrooms,1148,19,Furnished,No,11/10/2022,Yes,No,Buy,Yes,1236,5,Terrace,Low,Greater London,,
14 Elizabeth Road,Lewisham,Four or more Bedrooms,850,2,Partially Furnished,Yes,11/11/2022,Yes,No,Buy,No,1500,6,Terrace,Low,Greater London,,
209 West Road,Harrow,Two Bedroom,1027,21,Furnished,Yes,11/12/2022,Yes,Yes,Buy,No,711,2,Terrace,Low,Greater London,,
169 East Drive,Brent,Two Bedroom,1300,30,Furnished,No,11/13/2022,No,Yes,Rent,No,780,2,Terrace,Low,London,,
19 South Lane,Westminster,One Bedroom,650,16,Partially Furnished,No,11/14/2022,No,Yes,Rent,No,542,1,Terrace,Low,London,,
35 Diamond Estate,Barking and Dagenham,Four or more Bedrooms,1250,22,Not furnished,No,11/15/2022,No,Yes,Rent,Yes,1208,7,Terrace,Low,Greater London,,
201 Grange Drive,SOUTH WEST,Four or more Bedrooms,1080,30,Furnished,No,11/16/2022,No,No,Rent,Yes,1592,5,Terrace,Low,London,,
178 Victoria Manor,Outer London,Four or more Bedrooms,1800,14,Furnished,No,11/17/2022,No,Yes,Buy,No,1262,5,Terrace,Low,Greater London,,
72 Merton Lane,Haringey,Four or more Bedrooms,2100,4,Partially Furnished,No,11/18/2022,No,Yes,Buy,Yes,1462,4,Terrace,Low,Greater London,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
